perihelion_year,perihelion_month,perihelion_day,perihelion_distance_au,eccentricity,argument_of_perihelion_degrees,longitude_of_ascending_node_degrees,inclination_degrees,magnitude_g,magnitude_k,designation,reference
2017,9,7.3976,9.549362,0.998033,345.7034,161.4221,28.4113,4.0,10.0,2014 B1,MPEC 2021-R75
2019,4,13.812,1.6741549999999998,0.448804,23.9332,167.7732,2.6899,15.5,10.0,2014 C1,MPC102095
2021,5,21.3199,5.690323,0.6257689999999999,3.7655,326.7329,6.5931,6.0,10.0,2014 F3,MPC 94280
2014,7,20.5031,2.2171990000000004,0.6482760000000001,182.6739,149.3473,5.1998,12.0,10.0,2014 L2,MPC 98560
2014,7,1.7322,1.85031,0.77358,178.6733,115.4753,6.2758,16.0,10.0,2014 L3,MPC 90769
2014,12,25.9592,2.380385,0.5946319999999999,147.9645,263.2389,3.3378,15.0,10.0,2014 M4,MPC 91614
2024,9,7.3565,3.7121160000000004,0.259384,299.1023,311.7345,9.3708,9.5,10.0,2014 MG4,MPC103844
2014,4,20.8666,4.649163,0.385712,204.6835,87.6447,7.8035,10.5,10.0,2014 O3,MPC 98560
2016,12,13.0341,6.250255999999999,1.0032219999999998,65.8967,240.429,81.2852,11.0,5.0,2014 OE4,MPEC 2021-P47
2021,11,28.2639,9.969489,0.185087,254.052,145.7928,9.0327,6.0,10.0,2014 OG392,MPEC 2021-S45
